PlanName,fy,ActLiabilities_GASB,InvestmentReturnAssumption_GASB,InvestmentReturn_1yr
"Connecticut SERS",2016,32310336.000,0.06900,0.00260
"Connecticut SERS",2017,33077608.000,0.06900,0.14320
"Connecticut SERS",2018,34214164.000,0.06900,0.07300
"Connecticut SERS",2019,36087936.000,0.06900,0.05880
"Connecticut SERS",2020,36971136.000,0.06900,0.01860
"Contra Costa County",2001,2983551.000,0.08350,-0.02400
"Contra Costa County",2002,3677624.000,0.08000,-0.09500
"Contra Costa County",2003,4141390.000,0.07900,0.23500
"Contra Costa County",2004,4481243.000,0.07900,0.13400
"Contra Costa County",2005,4792428.000,0.07900,0.10800
"Contra Costa County",2006,5293977.000,0.07800,0.15300
"Contra Costa County",2007,5581048.000,0.07800,0.07300
"Contra Costa County",2008,5972471.000,0.07800,-0.26500
"Contra Costa County",2009,6314787.000,0.07750,0.21900
"Contra Costa County",2010,6654037.000,0.07750,0.14000
"Contra Costa County",2011,6915311.500,0.07750,0.02700
"Contra Costa County",2012,7761315.500,0.07250,0.14100
"Contra Costa County",2013,7731097.500,0.07250,0.16500
"Contra Costa County",2014,8027438.000,0.07250,0.08400
"Contra Costa County",2015,8448624.000,0.07250,0.02600
"Contra Costa County",2016,8794434.000,0.07000,0.07400
"Contra Costa County",2017,9239247.000,0.07000,0.14200
"Contra Costa County",2018,9682144.000,0.07000,-0.02700
"Contra Costa County",2019,10075722.000,0.07000,0.14600
"Contra Costa County",2020,10521628.000,0.07000,0.09200
"DC Police & Fire",2001,,0.07250,-0.11700
"DC Police & Fire",2002,,0.07250,-0.07900
"DC Police & Fire",2003,,0.07250,0.16300
"DC Police & Fire",2004,,0.07250,0.11900
"DC Police & Fire",2005,,0.07250,0.13900
"DC Police & Fire",2006,2459000.000,0.07250,0.10400
"DC Police & Fire",2007,2647300.000,0.07500,0.16800
"DC Police & Fire",2008,2938800.000,0.07000,-0.16900
"DC Police & Fire",2009,3027900.000,0.07000,-0.02200
"DC Police & Fire",2010,3166830.000,0.07000,0.10300
"DC Police & Fire",2011,3309825.000,0.07000,0.02900
"DC Police & Fire",2012,3456976.000,0.06500,0.14500
"DC Police & Fire",2013,3644085.000,0.06500,0.11300
"DC Police & Fire",2014,3998537.000,0.06500,0.08400
"DC Police & Fire",2015,4283093.000,0.06500,-0.03900
"DC Police & Fire",2016,4498513.000,0.06500,0.09400
"DC Police & Fire",2017,4878260.000,0.06500,0.13100
"DC Police & Fire",2018,5223760.000,0.06500,0.05400
"DC Police & Fire",2019,5604573.000,0.06500,0.03900
"DC Police & Fire",2020,6023843.000,0.06500,0.05400
"Florida RS",2001,80993720.000,0.08000,-0.07600
"Florida RS",2002,86469776.000,0.08000,-0.08070
"Florida RS",2003,89251328.000,0.08000,0.02850
"Florida RS",2004,95185432.000,0.07750,0.16650
"Florida RS",2005,103925952.000,0.07750,0.10180
"Florida RS",2006,110977832.000,0.07750,0.10560
"Florida RS",2007,118870512.000,0.07750,0.18070
"Florida RS",2008,124087216.000,0.07750,-0.04420
"Florida RS",2009,135140576.000,0.07750,-0.19030
"Florida RS",2010,137442432.000,0.07750,0.14030
"Florida RS",2011,145034480.000,0.07750,0.22090
"Florida RS",2012,148049600.000,0.07750,0.00290
"Florida RS",2013,154125952.000,0.07750,0.13120
"Florida RS",2014,160130496.000,0.07650,0.17400
"Florida RS",2015,165548928.000,0.07650,0.03670
"Florida RS",2016,170374608.000,0.07600,0.00540
"Florida RS",2017,178579120.000,0.07500,0.13770
"Florida RS",2018,185950080.000,0.07400,0.08980
"Florida RS",2019,191330896.000,0.07200,0.06260
"Florida RS",2020,200277168.000,0.07000,0.03080
"Hawaii ERS",2001,10506913.000,0.08000,-0.06680
"Hawaii ERS",2002,11210226.000,0.08000,-0.05520
"Hawaii ERS",2003,11952057.000,0.08000,0.02970
"Hawaii ERS",2004,12271331.000,0.08000,0.15810
"Hawaii ERS",2005,12985989.000,0.08000,0.11300
"Hawaii ERS",2006,14661399.000,0.08000,0.11120
"Hawaii ERS",2007,15696500.000,0.08000,0.17710
"Hawaii ERS",2008,16549100.000,0.08000,-0.03510
"Hawaii ERS",2009,17636400.000,0.08000,-0.17540
"Hawaii ERS",2010,18483700.000,0.08000,0.11960
"Hawaii ERS",2011,20096900.000,0.07750,0.21250
"Hawaii ERS",2012,20683400.000,0.07750,-0.00140
"Hawaii ERS",2013,21243700.000,0.07750,0.12570
"Hawaii ERS",2014,22220100.000,0.07750,0.17770
"Hawaii ERS",2015,23238400.000,0.07650,0.04230
"Hawaii ERS",2016,27439200.000,0.07000,-0.00780
"Hawaii ERS",2017,28648600.000,0.07000,0.13680
"Hawaii ERS",2018,29917400.000,0.07000,0.07850
"Hawaii ERS",2019,31396400.000,0.07000,0.06000
"Hawaii ERS",2020,32691800.000,0.07000,
"Idaho PERS",2001,6679100.000,0.08000,-0.06100
"Idaho PERS",2002,7137800.000,0.08000,-0.07100
"Idaho PERS",2003,7512400.000,0.08000,0.03700
"Idaho PERS",2004,8091300.000,0.07750,0.18100
"Idaho PERS",2005,8717400.000,0.07750,0.10800
"Idaho PERS",2006,9638800.000,0.07750,0.12200
"Idaho PERS",2007,10372400.000,0.07750,0.20000
"Idaho PERS",2008,11150900.000,0.07750,-0.04200
"Idaho PERS",2009,11672600.000,0.07750,-0.16000
"Idaho PERS",2010,12135600.000,0.07750,0.12400
"Idaho PERS",2011,12592700.000,0.07750,0.20700
"Idaho PERS",2012,13349700.000,0.07500,0.01600
"Idaho PERS",2013,14127600.000,0.07500,0.09100
"Idaho PERS",2014,14736500.000,0.07500,0.17200
"Idaho PERS",2015,15446900.000,0.07500,0.03000
"Idaho PERS",2016,16090300.000,0.07500,0.01800
"Idaho PERS",2017,17063300.000,0.07500,0.12700
"Idaho PERS",2018,17991200.000,0.07050,0.08700
"Idaho PERS",2019,18672900.000,0.07000,0.08400
"Idaho PERS",2020,19828500.000,0.07000,0.03100
"Illinois SERS",2001,12572240.000,0.08500,-0.07100
"Illinois SERS",2002,14291044.000,0.08500,-0.06900
"Illinois SERS",2003,17593980.000,0.08500,0.00300
"Illinois SERS",2004,18442664.000,0.08500,0.16400
"Illinois SERS",2005,19304648.000,0.08500,0.10100
"Illinois SERS",2006,20874542.000,0.08500,0.11000
"Illinois SERS",2007,22280916.000,0.08500,0.17100
"Illinois SERS",2008,23841280.000,0.08500,-0.06200
"Illinois SERS",2009,25298346.000,0.08500,-0.20100
"Illinois SERS",2010,29309464.000,0.07750,0.09100
"Illinois SERS",2011,31395008.000,0.07750,0.21700
"Illinois SERS",2012,33091186.000,0.07750,0.00100
"Illinois SERS",2013,34720764.000,0.07750,0.14100
"Illinois SERS",2014,39526844.000,0.07250,0.17900
"Illinois SERS",2015,40743412.000,0.07250,0.04700
"Illinois SERS",2016,45515372.000,0.07000,-0.00800
"Illinois SERS",2017,46701348.000,0.07000,0.12300
"Illinois SERS",2018,47925684.000,0.07000,0.07600
"Illinois SERS",2019,48731440.000,0.06750,0.07100
"Illinois SERS",2020,50145832.000,0.06750,0.04600
"Illinois Universities",2001,14915317.000,0.08500,-0.08800
"Illinois Universities",2002,16654041.000,0.08500,-0.06100
"Illinois Universities",2003,18025032.000,0.08500,0.02900
"Illinois Universities",2004,19078584.000,0.08500,0.17000
"Illinois Universities",2005,20349922.000,0.08500,0.10400
"Illinois Universities",2006,21688936.000,0.08500,0.11700
"Illinois Universities",2007,23362080.000,0.08500,0.18300
"Illinois Universities",2008,24917678.000,0.08500,-0.04500
"Illinois Universities",2009,26316232.000,0.08500,-0.19700
"Illinois Universities",2010,30120428.000,0.07750,0.15000
"Illinois Universities",2011,31514336.000,0.07750,0.23800
"Illinois Universities",2012,33170216.000,0.07750,0.00500
"Illinois Universities",2013,34373104.000,0.07750,0.12500
"Illinois Universities",2014,37429516.000,0.07250,0.18200
"Illinois Universities",2015,39520688.000,0.07250,0.02900
"Illinois Universities",2016,40923300.000,0.07250,0.00200
"Illinois Universities",2017,41853348.000,0.07250,0.12200
"Illinois Universities",2018,45258752.000,0.06750,0.08200
"Illinois Universities",2019,46443936.000,0.06750,0.06000
"Illinois Universities",2020,47580472.000,0.06750,0.02600
"Indiana PERF",2001,8305672.000,0.07250,-0.02510
"Indiana PERF",2002,9066132.000,0.07250,-0.04510
"Indiana PERF",2003,9034573.000,0.07250,0.04700
"Indiana PERF",2004,9844353.000,0.07250,0.16300
"Indiana PERF",2005,10858322.000,0.07250,0.09800
"Indiana PERF",2006,11450928.000,0.07250,0.10700
"Indiana PERF",2007,12439798.000,0.07250,0.18200
"Indiana PERF",2008,13103221.000,0.07250,-0.07600
"Indiana PERF",2009,13506280.000,0.07250,-0.20600
"Indiana PERF",2010,14506052.000,0.07000,0.13900
"Indiana PERF",2011,14913147.000,0.07000,0.19900
"Indiana PERF",2012,15784240.000,0.06750,0.00700
"Indiana PERF",2013,16145681.000,0.06750,0.06000
"Indiana PERF",2014,16732223.000,0.06750,0.13730
"Indiana PERF",2015,17980568.000,0.06750,0.00000
"Indiana PERF",2016,18408946.000,0.06750,0.01190
"Indiana PERF",2017,19106214.000,0.06750,0.08000
"Indiana PERF",2018,16091373.000,0.06750,0.09300
"Indiana PERF",2019,16576060.000,0.06750,0.07400
"Indiana PERF",2020,16281754.000,0.06750,0.02600
"Indiana Teachers",2001,13523826.000,0.07500,0.00830
"Indiana Teachers",2002,14664661.000,0.07500,-0.03800
"Indiana Teachers",2003,14747339.000,0.07500,0.04780
"Indiana Teachers",2004,15197926.000,0.07500,0.15070
"Indiana Teachers",2005,16264893.000,0.07500,0.09260
"Indiana Teachers",2006,17365572.000,0.07500,0.11430
"Indiana Teachers",2007,18815812.000,0.07500,0.18170
"Indiana Teachers",2008,18750062.000,0.07500,-0.05700
"Indiana Teachers",2009,19162626.000,0.07500,-0.18000
"Indiana Teachers",2010,19896626.000,0.07000,0.14300
"Indiana Teachers",2011,20315242.000,0.07000,0.18000
"Indiana Teachers",2012,20860324.000,0.06750,0.00700
"Indiana Teachers",2013,21211748.000,0.06750,0.06000
"Indiana Teachers",2014,21592210.000,0.06750,0.13730
"Indiana Teachers",2015,22923438.000,0.06750,0.00000
"Indiana Teachers",2016,23231950.000,0.06750,0.01190
"Indiana Teachers",2017,23651006.000,0.06750,0.08000
"Indiana Teachers",2018,20146452.000,0.06750,0.09300
"Indiana Teachers",2019,20369590.000,0.06750,0.07400
"Indiana Teachers",2020,20371954.000,0.06750,0.02600
"Iowa PERS",2001,15553379.000,0.07500,-0.04730
"Iowa PERS",2002,16868560.000,0.07500,-0.04940
"Iowa PERS",2003,17987376.000,0.07500,0.05590
"Iowa PERS",2004,19128412.000,0.07500,0.13780
"Iowa PERS",2005,20240100.000,0.07500,0.11250
"Iowa PERS",2006,21651122.000,0.07500,0.11110
"Iowa PERS",2007,23026114.000,0.07500,0.16290
"Iowa PERS",2008,24522216.000,0.07500,-0.01330
"Iowa PERS",2009,26018594.000,0.07500,-0.16270
"Iowa PERS",2010,26468420.000,0.07500,0.13820
"Iowa PERS",2011,28257080.000,0.07500,0.19910
"Iowa PERS",2012,29446198.000,0.07500,0.03730
"Iowa PERS",2013,30498342.000,0.07500,0.10120
"Iowa PERS",2014,32004456.000,0.07500,0.15880
"Iowa PERS",2015,33370318.000,0.07500,0.03960
"Iowa PERS",2016,34619748.000,0.07500,0.02150
"Iowa PERS",2017,37440384.000,0.07000,0.11700
"Iowa PERS",2018,38642832.000,0.07000,0.07970
"Iowa PERS",2019,39801340.000,0.07000,0.08350
"Iowa PERS",2020,41072428.000,0.07000,0.03390
"Kansas PERS",2001,11140014.000,0.08000,-0.07300
"Kansas PERS",2002,11743052.000,0.08000,-0.04700
"Kansas PERS",2003,12613599.000,0.08000,0.04000
"Kansas PERS",2004,14439546.000,0.08000,0.15400
"Kansas PERS",2005,15714092.000,0.08000,0.12100
"Kansas PERS",2006,16491762.000,0.08000,0.12300
"Kansas PERS",2007,17552792.000,0.08000,0.18030
"Kansas PERS",2008,18984916.000,0.08000,-0.04430
"Kansas PERS",2009,20106788.000,0.08000,-0.19640
"Kansas PERS",2010,21138206.000,0.08000,0.14900
"Kansas PERS",2011,21853784.000,0.08000,0.22600
"Kansas PERS",2012,22607170.000,0.08000,0.01000
"Kansas PERS",2013,23531424.000,0.08000,0.14000
"Kansas PERS",2014,24328670.000,0.08000,0.18400
"Kansas PERS",2015,25130468.000,0.08000,0.03700
"Kansas PERS",2016,25947780.000,0.08000,0.00700
"Kansas PERS",2017,27317754.000,0.07750,0.12700
"Kansas PERS",2018,28153826.000,0.07750,0.08700
"Kansas PERS",2019,29100136.000,0.07750,0.06700
"Kansas PERS",2020,29982336.000,0.07750,0.02100
"Kentucky County",2001,4900143.000,0.08250,-0.05420
"Kentucky County",2002,5492646.000,0.08250,-0.04280
"Kentucky County",2003,5917227.000,0.08250,0.04280
"Kentucky County",2004,6577290.000,0.08250,0.13590
"Kentucky County",2005,7180924.000,0.08250,0.09300
"Kentucky County",2006,8199712.000,0.07750,0.09700
"Kentucky County",2007,8868182.000,0.07750,0.15300
"Kentucky County",2008,9707340.000,0.07750,-0.04210
"Kentucky County",2009,10491358.000,0.07750,-0.17210
"Kentucky County",2010,11131174.000,0.07750,0.15810
"Kentucky County",2011,11777126.000,0.07750,0.18960
"Kentucky County",2012,12149560.000,0.07750,0.00140
"Kentucky County",2013,12503082.000,0.07750,0.10820
"Kentucky County",2014,13061348.000,0.07750,0.15550
"Kentucky County",2015,14353633.000,0.07500,0.02010
"Kentucky County",2016,14780913.000,0.06938,-0.00520
"Kentucky County",2017,17452556.000,0.05516,0.13470
"Kentucky County",2018,17984052.000,0.05517,0.08570
"Kentucky County",2019,19601478.000,0.05518,0.05830
"Kentucky County",2020,20042168.000,0.06250,0.01150
"Kentucky ERS",2001,5729229.000,0.08250,-0.05420
"Kentucky ERS",2002,6348164.000,0.08250,-0.04280
"Kentucky ERS",2003,6877342.500,0.08250,0.04280
"Kentucky ERS",2004,7453191.000,0.08250,0.13590
"Kentucky ERS",2005,8018088.500,0.08250,0.09300
"Kentucky ERS",2006,9503482.000,0.07750,0.09700
"Kentucky ERS",2007,10044932.000,0.07750,0.15300
"Kentucky ERS",2008,10747701.000,0.07750,-0.04210
"Kentucky ERS",2009,11332961.000,0.07750,-0.17210
"Kentucky ERS",2010,11692945.000,0.07750,0.15810
"Kentucky ERS",2011,11903435.000,0.07750,0.18960
"Kentucky ERS",2012,12113748.000,0.07750,0.00140
"Kentucky ERS",2013,12170583.000,0.07750,0.10820
"Kentucky ERS",2014,12366960.000,0.07750,0.15550
"Kentucky ERS",2015,13255106.000,0.07500,0.02010
"Kentucky ERS",2016,14161405.000,0.06800,-0.00520
"Kentucky ERS",2017,16713061.000,0.05317,0.13470
"Kentucky ERS",2018,16827156.000,0.05319,0.08570
"Kentucky ERS",2019,17692624.000,0.05319,0.05830
"Kentucky ERS",2020,17632730.000,0.05323,0.01150
"Kentucky Teachers",2001,14642129.000,0.07500,-0.00700
"Kentucky Teachers",2002,15695574.000,0.07500,-0.04100
"Kentucky Teachers",2003,16594781.000,0.07500,0.04800
"Kentucky Teachers",2004,17617626.000,0.07500,0.09700
"Kentucky Teachers",2005,19134870.000,0.07500,0.07500
"Kentucky Teachers",2006,20324780.000,0.07500,0.05400
"Kentucky Teachers",2007,21254974.000,0.07500,0.15300
"Kentucky Teachers",2008,22460304.000,0.07500,-0.05700
"Kentucky Teachers",2009,23400426.000,0.07500,-0.14300
"Kentucky Teachers",2010,24344316.000,0.07500,0.13100
"Kentucky Teachers",2011,25968692.000,0.07500,0.21600
"Kentucky Teachers",2012,26973854.000,0.07500,0.02400
"Kentucky Teachers",2013,28817232.000,0.07500,0.14100
"Kentucky Teachers",2014,30184404.000,0.07500,0.18100
"Kentucky Teachers",2015,31149962.000,0.07500,0.05100
"Kentucky Teachers",2016,32028228.000,0.07500,-0.01000
"Kentucky Teachers",2017,32819888.000,0.07500,0.15370
"Kentucky Teachers",2018,33795672.000,0.07500,0.10810
"Kentucky Teachers",2019,34676712.000,0.07500,0.05900
"Kentucky Teachers",2020,35582248.000,0.07500,0.05800
"LA County ERS",2001,26489976.000,0.08000,-0.05200
"LA County ERS",2002,28437492.000,0.08000,-0.05600
"LA County ERS",2003,30474024.000,0.08000,0.03600
"LA County ERS",2004,32700504.000,0.07750,0.16500
"LA County ERS",2005,34375948.000,0.07750,0.11000
"LA County ERS",2006,36258928.000,0.07750,0.13000
"LA County ERS",2007,39502456.000,0.07750,0.18800
"LA County ERS",2008,41975632.000,0.07750,-0.01500
"LA County ERS",2009,44468636.000,0.07750,-0.18300
"LA County ERS",2010,46646840.000,0.07750,0.11600
"LA County ERS",2011,48598168.000,0.07700,0.20200
"LA County ERS",2012,51320700.000,0.07600,0.00100
"LA County ERS",2013,53247776.000,0.07500,0.11900
"LA County ERS",2014,54942452.000,0.07630,0.16500
"LA County ERS",2015,56819216.000,0.07500,0.04100
"LA County ERS",2016,62199216.000,0.07250,0.00800
"LA County ERS",2017,65310804.000,0.07250,0.12700
"LA County ERS",2018,68527352.000,0.07250,0.09000
"LA County ERS",2019,74635840.000,0.07000,0.06400
"LA County ERS",2020,78275176.000,0.07000,0.01800
"Alabama Teachers",2001,17238616.000,0.08000,-0.06050
"Alabama Teachers",2002,18374174.000,0.08000,-0.07810
"Alabama Teachers",2003,19357736.000,0.08000,0.15980
"Alabama Teachers",2004,20886190.000,0.08000,0.10710
"Alabama Teachers",2005,23027338.000,0.08000,0.11260
"Alabama Teachers",2006,23945100.000,0.08000,0.08820
"Alabama Teachers",2007,25971534.000,0.08000,0.17460
"Alabama Teachers",2008,26804116.000,0.08000,-0.15360
"Alabama Teachers",2009,27537400.000,0.08000,-0.07940
"Alabama Teachers",2010,28299524.000,0.08000,0.08420
"Alabama Teachers",2011,28776316.000,0.08000,0.01810
"Alabama Teachers",2012,28251368.000,0.08000,0.18300
"Alabama Teachers",2013,29665844.000,0.08000,0.14930
"Alabama Teachers",2014,30837828.000,0.08000,0.12130
"Alabama Teachers",2015,31844844.000,0.08000,0.01040
"Alabama Teachers",2016,33143834.000,0.07875,0.10410
"Alabama Teachers",2017,34688080.000,0.07750,0.11770
"Alabama Teachers",2018,35628400.000,0.07700,0.09420
"Alabama Teachers",2019,37215472.000,0.07700,0.02630
"Alabama Teachers",2020,37752800.000,0.07700,0.05620
"Alaska Teachers",2001,3651488.000,0.08250,-0.05350
"Alaska Teachers",2002,3959958.000,0.08250,-0.05490
"Alaska Teachers",2003,4190970.000,0.08250,0.03680
"Alaska Teachers",2004,4216480.000,0.08250,0.15090
"Alaska Teachers",2005,4334585.000,0.08250,0.09010
"Alaska Teachers",2006,4859336.000,0.08250,0.11780
"Alaska Teachers",2007,5043448.000,0.08250,0.18920
"Alaska Teachers",2008,5231654.000,0.08250,-0.03050
"Alaska Teachers",2009,5463987.000,0.08250,-0.20620
"Alaska Teachers",2010,6006981.000,0.08000,0.11580
"Alaska Teachers",2011,6196104.000,0.08000,0.21400
"Alaska Teachers",2012,6399777.000,0.08000,0.00510
"Alaska Teachers",2013,6589533.000,0.08000,0.12590
"Alaska Teachers",2014,6921362.000,0.08000,0.18460
"Alaska Teachers",2015,7051724.000,0.08000,0.03300
"Alaska Teachers",2016,7159788.000,0.08000,-0.00360
"Alaska Teachers",2017,7217525.000,0.08000,0.13360
"Alaska Teachers",2018,7276290.000,0.07380,0.09620
"Alaska Teachers",2019,7388020.000,0.07380,0.06390
"Alaska Teachers",2020,7447036.000,0.07380,0.03830
"Arizona Public Safety",2001,3674758.000,0.09000,-0.16860
"Arizona Public Safety",2002,4144211.000,0.09000,-0.15070
"Arizona Public Safety",2003,4739613.000,0.09000,0.06670
"Arizona Public Safety",2004,5167333.000,0.08750,0.14970
"Arizona Public Safety",2005,5951937.000,0.08500,0.09110
"Arizona Public Safety",2006,6495012.500,0.08500,0.08300
"Arizona Public Safety",2007,7268291.500,0.08500,0.17050
"Arizona Public Safety",2008,7405397.000,0.08500,-0.07270
"Arizona Public Safety",2009,7778394.000,0.08500,-0.17730
"Arizona Public Safety",2010,8255185.000,0.08500,0.13470
"Arizona Public Safety",2011,9094447.000,0.08250,0.17370
"Arizona Public Safety",2012,10054752.000,0.08000,-0.00790
"Arizona Public Safety",2013,10544353.000,0.07850,0.10640
