PlanName,fy,CostSharing,CostStructure,PlanType,SocSecCovered,StateAbbrev,ppd_id,ActAssets_GASB,ActLiabilities_GASB,ActFundedRatio_GASB,PercentReqContPaid,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,ActCostMeth_GASB,FundingMeth_GASB,EQTotal_Actl,PETotal_Actl,HFTotal_Actl,COMDTotal_Actl,RETotal_Actl,AltMiscTotal_Actl,TotMembership,actives_tot,ActiveSalary_avg,beneficiaries_tot,BeneficiaryBenefit_avg,ActFundedRatio_GASB67
Alabama ERS,2018,0,"Multiple employer, agent plan",1,1,AL,1,12240597,17829736,0.687,1,0.0275,0.077,Entry Age Normal,Level Percent Closed,0.7049,0,0,0,0,0,149484,86565,42.502,50061,21.672,0.71215
Alabama ERS,2019,0,"Multiple employer, agent plan",1,1,AL,1,12645789,18543542,0.682,1,0.0275,0.077,Entry Age Normal,Level Percent Closed,0.684,0,0,0,0,0,153503,84534,44.881,51451,21.981,0.68479
Alabama ERS,2020,0,"Multiple employer, agent plan",1,1,AL,1,13491176,19786472,0.682,1,0.0275,0.077,Entry Age Normal,Level Percent Closed,0.6883,0,0,0,0,0,161610,85485,46.923,54367,22.208,0.6673
Alaska PERS,2001,1,"Multiple employer, cost sharing plan",1,0,AK,3,5579440,5528026,1.009,1.053,0.035,0.0825,Projected Unit Credit,Level Dollar Open,0.6113,0,0,0,0.0729,0,54902,32441,41.935,16274,16.488,
Alaska PERS,2002,1,"Multiple employer, cost sharing plan",1,0,AK,3,4611170,6133182,0.752,1.029,0.035,0.0825,Projected Unit Credit,Level Percent Fixed,0.5663,0,0,0,0.0783,0,56159,33242,42.196,17215,17.028,
Alaska PERS,2003,1,"Multiple employer, cost sharing plan",1,0,AK,3,4607673,6330541,0.728,1.103,0.035,0.0825,Projected Unit Credit,Level Percent Fixed,0.5979,0,0,0,0.07,0,58337,34065,42.882,18431,17.28,
Alaska PERS,2004,1,"Multiple employer, cost sharing plan",1,0,AK,3,4709592,6711507,0.702,1,0.035,0.0825,Projected Unit Credit,Level Percent Fixed,0.5825,0.0329,0,0.001,0.0769,0,59149,33612,43.823,19572,17.616,
Alaska PERS,2005,1,"Multiple employer, cost sharing plan",1,0,AK,3,4658413,7087191,0.657,0.473,0.035,0.0825,Projected Unit Credit,Level Percent Fixed,0.5553,0.0442,0.0245,0.0037,0.0964,0,60538,33730,44.86,20703,17.964,
Alaska PERS,2006,1,"Multiple employer, cost sharing plan",1,0,AK,3,6331065,8094043,0.782,0.654,0.035,0.0825,Entry Age Normal,Level Percent Fixed,0.5535,0.0603,0.0255,0.0076,0.1004,0,62191,34071,46.688,21901,18.276,
Alaska PERS,2007,1,"Multiple employer, cost sharing plan",1,0,AK,3,6739004,8662324,0.778,0.773,0.035,0.0825,Entry Age Normal,Level Dollar Fixed,0.5576,0.0669,0.0388,0.0117,0.1087,0,60757,31362,51.203,22997,18.624,
Alaska PERS,2008,1,"Multiple employer, cost sharing plan",1,0,AK,3,7210772,9154282,0.788,1.074,0.035,0.0825,Entry Age Normal,Level Dollar Fixed,0.5054,0.0853,0.0418,0.0327,0.125,0,59559,28850,54.691,24082,18.876,
Alaska PERS,2009,1,"Multiple employer, cost sharing plan",1,0,AK,3,6108528,9702086,0.63,1.161,0.035,0.0825,Entry Age Normal,Level Dollar Closed,0.5139,0.0882,0.0425,0,0.1908,0,59146,27565,57.518,25015,19.308,
Alaska PERS,2010,1,"Multiple employer, cost sharing plan",1,0,AK,3,6469832,10371672,0.624,0.86,0.0312,0.08,Entry Age Normal,Level Dollar Closed,0.4997,0.0976,0.0506,0,0.1511,0,58932,26442,60.007,26237,19.512,
Alaska PERS,2011,1,"Multiple employer, cost sharing plan",1,0,AK,3,6762149,10919047,0.619,0.927,0.0312,0.08,Entry Age Normal,Level Dollar Closed,0.5385,0.092,0.044,0,0.1528,0,58166,24393,63.201,27359,19.944,
Alaska PERS,2012,1,"Multiple employer, cost sharing plan",1,0,AK,3,6530421,11428944,0.571,0.892,0.0312,0.08,Entry Age Normal,Level Dollar Closed,0.5138,0.0994,0.0425,0,0.1647,0,57567,22730,66.119,28540,20.46,
Alaska PERS,2013,1,"Multiple employer, cost sharing plan",1,0,AK,3,6510749,11945881,0.545,0.899,0.0312,0.08,Entry Age Normal,Level Dollar Closed,0.55,0.0896,0.0441,0,0.1721,0,57050,20955,69.211,29865,16.98,
Alaska PERS,2014,1,"Multiple employer, cost sharing plan",1,0,AK,3,7731438,12947759,0.597,1.06769,0.0312,0.08,Entry Age Normal,Level Percent Closed,0.5154,0.0817,0.0388,0.0426,0.1683,0,56576,19297,71.651,31112,17.448,0.62373
Alaska PERS,2015,1,"Multiple employer, cost sharing plan",1,0,AK,3,8931160,13337929,0.67,2.31668,0.0312,0.08,Entry Age Normal,Level Percent Closed,0.5201,0.0769,0.0569,0.0372,0.1724,0,56109,17660,73.248,32145,17.88,0.63959
Alaska PERS,2016,1,"Multiple employer, cost sharing plan",1,0,AK,3,9056662,13633033,0.664,0.57172,0.0312,0.08,Entry Age Normal,Level Percent Closed,0.5026,0.0799,0.0659,0.0426,0.1801,0,55618,16105,75.717,33353,18.348,0.59546
Alaska PERS,2017,1,"Multiple employer, cost sharing plan",1,0,AK,3,9229703,13832130,0.667,0.98372,0.0312,0.08,Entry Age Normal,Level Percent Closed,0.4919,0.0843,0.0634,0.0384,0.1695,0,55028,14719,76.902,34347,18.888,0.6337
Alaska PERS,2018,1,"Multiple employer, cost sharing plan",1,0,AK,3,9430192,14606033,0.646,0.94116,0.025,0.0738,Entry Age Normal,Level Percent Closed,0.4486,0.0923,0.0741,0.0971,0.1909,0,54548,13434,77.813,35454,23.196,0.65192
Alaska PERS,2019,1,"Multiple employer, cost sharing plan",1,0,AK,3,9576693,15039180,0.637,1.01018,,0.0738,Entry Age Normal,Level Percent Closed,0.4507,0.1054,0.0577,0.0973,0.1653,0,53995,12152,82.192,36310,23.928,0.63416
Alaska PERS,2020,1,"Multiple employer, cost sharing plan",1,0,AK,3,9576693,15039180,0.637,1.00045,,0.0738,Entry Age Normal,Level Percent Closed,0.461,0.1234,0.0543,0,0.135,0,53995,12152,82.192,36310,23.928,0.61607
Arizona SRS,2001,1,"Multiple employer, cost sharing plan",1,1,AZ,6,21888184,19041786,1.14948,1,0.0425,0.08,Projected Unit Credit,Level Dollar Closed,0.739,0,0,0,0,0,350269,191252,31.281,62824,13.104,
Arizona SRS,2002,1,"Multiple employer, cost sharing plan",1,1,AZ,6,22641694,21285172,1.06373,1,0.0425,0.08,Projected Unit Credit,Level Dollar Closed,0.676,0,0,0,0,0,373643,198870,33.13,64831,14.472,
Arizona SRS,2003,1,"Multiple employer, cost sharing plan",1,1,AZ,6,22572008,22934742,0.98418,1,0.0425,0.08,Projected Unit Credit,Level Dollar Open,0.736,0,0,0,0,0,395021,202398,36.052,69258,15.642,
Arizona SRS,2004,1,"Multiple employer, cost sharing plan",1,1,AZ,6,22659396,24506244,0.92464,1,0.0425,0.08,Projected Unit Credit,Level Dollar Open,0.68602,0,0,0,0.00125,0,415650,205482,36.429,73615,17.032,
Arizona SRS,2005,1,"Multiple employer, cost sharing plan",1,1,AZ,6,22808290,26486196,0.86114,1,0.0425,0.08,Projected Unit Credit,Level Dollar Open,0.69733,0,0,0,0.001,0,440762,212202,37.853,78792,18.085,
Arizona SRS,2006,1,"Multiple employer, cost sharing plan",1,1,AZ,6,23766572,28192090,0.84302,1,0.0425,0.08,Projected Unit Credit,Level Dollar Open,0.692,0,0,0,0.01,0,464719,217676,38.185,83516,18.633,
Arizona SRS,2007,1,"Multiple employer, cost sharing plan",1,1,AZ,6,25309888,30390476,0.83282,1,0.0425,0.08,Projected Unit Credit,Level Dollar Open,0.704,0,0,0,0.008,0,506362,224001,40.901,88638,18.868,
Arizona SRS,2008,1,"Multiple employer, cost sharing plan",1,1,AZ,6,26612440,32424478,0.82075,1,0.0425,0.08,Projected Unit Credit,Level Dollar Open,0.67598,0.00497,0.00298,0,0.01988,0,523257,226415,42.879,93838,19.085,
Arizona SRS,2009,1,"Multiple employer, cost sharing plan",1,1,AZ,6,27093788,34290116,0.79013,1,0.0375,0.08,Projected Unit Credit,Level Dollar Open,0.6469,0.013,0.008,0,0.028,0,532160,222515,44.198,99136,19.36,
Arizona SRS,2010,1,"Multiple employer, cost sharing plan",1,1,AZ,6,27572000,36072520,0.76435,1,0.0375,0.08,Projected Unit Credit,Level Dollar Open,0.6529,0.0205,0.0133,0,0.0309,0,529166,213530,44.115,106031,19.406,
Arizona SRS,2011,1,"Multiple employer, cost sharing plan",1,1,AZ,6,27983518,37051180,0.75527,1,0.0325,0.08,Projected Unit Credit,Level Dollar Open,0.6329,0.0291,0.0134,0,0.0412,0,530513,208939,43.365,112605,19.455,
Arizona SRS,2012,1,"Multiple employer, cost sharing plan",1,1,AZ,6,28948010,38450288,0.75287,1,0.0325,0.08,Projected Unit Credit,Level Dollar Open,0.6276,0.0483,0.0237,0,0.0517,0,532925,203994,43.475,118871,19.582,
Arizona SRS,2013,1,"Multiple employer, cost sharing plan",1,1,AZ,6,30110632,39911756,0.75443,1,0.03,0.08,Projected Unit Credit,Level Dollar Closed,0.6276,0.0483,0.0237,0,0.0517,0,540933,202693,43.182,125182,19.534,
Arizona SRS,2014,1,"Multiple employer, cost sharing plan",1,1,AZ,6,31547988,41349316,0.76296,1,0.03,0.08,Projected Unit Credit,Level Dollar Closed,0.523,0.096,0.133,0.003,0.059,0,548987,203201,43.841,130461,19.672,0.69485
Arizona SRS,2015,1,"Multiple employer, cost sharing plan",1,1,AZ,6,33112994,42968128,0.77064,1,0.03,0.08,Projected Unit Credit,Level Dollar Closed,0.532,0.119,0.088,0.014,0.067,0,558136,203252,44.636,135538,19.71,0.68355
Arizona SRS,2016,1,"Multiple employer, cost sharing plan",1,1,AZ,6,34269820,44535008,0.7695,1,0.03,0.08,Projected Unit Credit,Level Dollar Closed,0.459,0.168,0.074,0.016,0.099,0,566245,204162,45.375,139823,20.058,0.6706
Arizona SRS,2017,1,"Multiple employer, cost sharing plan",1,1,AZ,6,35268100,50618760,0.69674,1,0.023,0.075,entry Age Normal,Level Percent Closed,0.484,0.186,0.076,0.015,0.09,0,580196,206055,46.581,145651,20.129,0.69915
Arizona SRS,2018,1,"Multiple employer, cost sharing plan",1,1,AZ,6,36984396,52546436,0.70384,1,0.023,0.075,entry Age Normal,Level Percent Closed,0.463,0.21,0.081,0.014,0.108,0,590917,207119,47.901,150314,20.261,0.73404
Arizona SRS,2019,1,"Multiple employer, cost sharing plan",1,1,AZ,6,38879900,54564392,0.71255,1,0.023,0.075,entry Age Normal,Level Percent Closed,0.457,0.232,0,0,0.147,0,602384,208244,49.655,155067,20.441,0.7324
Arizona SRS,2020,1,"Multiple employer, cost sharing plan",1,1,AZ,6,40642836,56710704,0.717,1,0.023,0.075,entry Age Normal,Level Percent Closed,0.424,0.243,0,0,0.16,0,613691,210135,51.676,158964,20.642,0.6933
Arkansas PERS,2001,1,"Multiple employer, cost sharing plan",1,1,AR,7,4342000,4111000,1.06,1,0.045,0.08,Entry Age Normal,Level Percent Closed,0.495,0,0,0.043,0.025,0,66688,42556,25.146,16643,9.013,
Arkansas PERS,2002,1,"Multiple employer, cost sharing plan",1,1,AR,7,4404000,4398000,1,1,0.04,0.08,Entry Age Normal,Level Percent Open,0.49551,0,0,0.04496,0.02198,0,68339,42230,26.32,17748,9.443,
Arkansas PERS,2003,1,"Multiple employer, cost sharing plan",1,1,AR,7,4416000,4674000,0.95,1,0.04,0.08,Entry Age Normal,Level Percent Open,0.532,0,0,0.042,0.036,0,70675,42879,26.772,18838,9.874,
Arkansas PERS,2004,1,"Multiple employer, cost sharing plan",1,1,AR,7,4438000,5005000,0.89,1,0.04,0.08,Entry Age Normal,Level Percent Open,0.71095,0,0,0.03652,0.02755,0,72315,42826,27.455,19872,10.236,
Arkansas PERS,2005,1,"Multiple employer, cost sharing plan",1,1,AR,7,4584000,5323000,0.86,1,0.04,0.08,Entry Age Normal,Level Percent Open,0.698,0,0,0.034,0.049,0,74268,42938,28.295,21080,11.048,
Arkansas PERS,2006,1,"Multiple employer, cost sharing plan",1,1,AR,7,4949000,5936000,0.83,1,0.04,0.08,Entry Age Normal,Level Percent Open,0.714,0,0,0.0348,0.0539,0,76512,43453,29.159,22234,11.455,
Arkansas PERS,2007,1,"Multiple employer, cost sharing plan",1,1,AR,7,5498000,6174000,0.891,1,0.04,0.08,Entry Age Normal,Level Dollar,0.6969,0,0.0195,0.0383,0.062,0,77713,43630,29.855,22409,12.263,
Arkansas PERS,2008,1,"Multiple employer, cost sharing plan",1,1,AR,7,5866000,6543000,0.897,1,0.04,0.08,Entry Age Normal,Level Dollar,0.64935,0,0.04046,0.04256,0.06583,0,79900,44357,31.106,23555,12.609,
Arkansas PERS,2009,1,"Multiple employer, cost sharing plan",1,1,AR,7,5413000,6938000,0.78,1,0.04,0.08,Entry Age Normal,Level Dollar,0.59388,0,0.03419,0.06779,0.05919,0,81984,44702,32.073,24972,12.938,
Arkansas PERS,2010,1,"Multiple employer, cost sharing plan",1,1,AR,7,5409000,7304000,0.741,1,0.04,0.08,Entry Age Normal,Level Dollar,0.62962,0,0.01799,0.06236,0.05367,0,83729,45394,33.544,25880,13.223,
Arkansas PERS,2011,1,"Multiple employer, cost sharing plan",1,1,AR,7,5467000,7734000,0.707,1,0.04,0.08,Entry Age Normal,Level Dollar,0.67,0,0.022,0.051,0.0555,0,86172,45145,34.177,28137,13.353,
Arkansas PERS,2012,1,"Multiple employer, cost sharing plan",1,1,AR,7,5625000,8163000,0.689,1,0.04,0.08,Entry Age Normal,Level Dollar,0.63717,0,0.06002,0.04694,0.06012,0,88272,45937,34.962,29282,13.643,
Arkansas PERS,2013,1,"Multiple employer, cost sharing plan",1,1,AR,7,6159000,8284000,0.743,1,0.04,0.08,Entry Age Normal,Level Dollar Closed,0.64478,0,0.07765,0.03967,0.06039,0,89507,45707,35.285,30533,13.959,
Arkansas PERS,2014,1,"Multiple employer, cost sharing plan",1,1,AR,7,6895000,8864000,0.778,1,0.0375,0.0775,Entry Age Normal,Level Dollar Closed,0.67293,0.0021,0.07989,0.0223,0.05979,0,91269,45841,35.735,31914,14.323,0.84209
Arkansas PERS,2015,1,"Multiple employer, cost sharing plan",1,1,AR,7,7352000,9295000,0.791,1,0.025,0.075,Entry Age Normal,Level Percent Closed,0.67,0.0042,0.0722,0.0208,0.0668,0,92466,45722,35.979,33106,14.617,0.8039
Arkansas PERS,2016,1,"Multiple employer, cost sharing plan",1,1,AR,7,7769000,9663000,0.804,1,0.025,0.075,Entry Age Normal,Level Percent Closed,0.612,0.0041,0.0746,0.018,0.1143,0,93514,45676,36.923,34214,14.897,0.75504
Arkansas PERS,2017,1,"Multiple employer, cost sharing plan",1,1,AR,7,8157000,10510000,0.776,1,0.025,0.0715,Entry Age Normal,Level Percent Closed,0.638,0.0054,0.0684,0.0135,0.1095,0,97227,46094,36.204,36260,14.895,0.75651
Arkansas PERS,2018,1,"Multiple employer, cost sharing plan",1,1,AR,7,8416000,10694000,0.787,1,0.025,0.0715,Entry Age Normal,Level Percent Closed,0.646,0,0.0465,0,0.153,0,97753,46231,37.302,37565,15.309,0.79591
Arkansas PERS,2019,1,"Multiple employer, cost sharing plan",1,1,AR,7,8739000,11129000,0.785,1,0.025,0.0715,Entry Age Normal,Level Percent Closed,0.636,0,0.0495,0,0.1459,0,99340,45965,39.212,38543,15.803,0.78547
Arkansas PERS,2020,1,"Multiple employer, cost sharing plan",1,1,AR,7,9090000,11513000,0.79,1,0.025,0.0715,Entry Age Normal,Level Percent Closed,0.638,0,0.049,0,0.135,0,98889,44373,40.469,39805,16.006,0.75383
California PERF,2001,0,"Multiple employer, agent plan",1,1,CA,9,166860000,149155008,1.119,1,0.035,0.0825,Entry Age Normal,Level Percent Closed,0.5818,0.0459,0,0,0.0809,0,1285910,752080,40.956,369278,15.687,
California PERF,2002,0,"Multiple employer, agent plan",1,1,CA,9,156067008,163960992,0.952,1,0.035,0.0825,Entry Age Normal,Level Percent Closed,0.5656,0.0467,0,0,0.0864,0,1363923,795785,41.309,381746,17.117,
California PERF,2003,0,"Multiple employer, agent plan",1,1,CA,9,158596000,180922000,0.877,1,0.03,0.0775,Entry Age Normal,Level Percent Closed,0.597,0.0512,0,0,0.0803,0,1410511,809646,42.962,396151,17.937,
California PERF,2004,0,"Multiple employer, agent plan",1,1,CA,9,169899008,194608992,0.873,1,0.03,0.0775,Entry Age Normal,Level Percent Closed,0.6158,0.0466,0,0,0.0726,0,1415339,803973,43.631,413272,18.851,
California PERF,2005,0,"Multiple employer, agent plan",1,1,CA,9,183680000,210300992,0.873,1,0.03,0.0775,Entry Age Normal,Level Percent Closed,0.6078,0.0521,0,0,0.0506,0,1442076,789195,45.673,425094,20.206,
California PERF,2006,0,"Multiple employer, agent plan",1,1,CA,9,199032992,228131008,0.872,1,0.03,0.0775,Entry Age Normal,Level Percent Closed,0.619,0.0574,0,0,0.0725,0,1490172,807589,47.112,441277,21.318,
California PERF,2007,0,"Multiple employer, agent plan",1,1,CA,9,216484000,248224000,0.872,1,0.03,0.0775,Entry Age Normal,Level Percent Closed,0.60026,0.06734,0,0,0.07993,0,1542108,822624,49.675,455208,22.522,
California PERF,2008,0,"Multiple employer, agent plan",1,1,CA,9,233272000,268324000,0.869,1,0.03,0.0775,Entry Age Normal,Level Percent Closed,0.5167,0.1014,0.0197,0,0.092,0,1595031,836914,52.856,468898,23.602,
California PERF,2009,0,"Multiple employer, agent plan",1,1,CA,9,244964000,294041984,0.833,1,0.03,0.0775,Entry Age Normal,Level Percent Closed,0.437,0.1188,0.024,0,0.0738,0,1619352,821113,54.925,484955,24.783,
California PERF,2010,0,"Multiple employer, agent plan",1,1,CA,9,257070000,308343008,0.834,1,0.03,0.0775,Entry Age Normal,Level Percent Closed,0.4512,0.1409,0.0247,0,0.0744,0,1621906,804294,55.93,505862,26.005,
California PERF,2011,0,"Multiple employer, agent plan",1,1,CA,9,271388992,328567008,0.826,1,0.0275,0.075,Entry Age Normal,Level Percent Closed,0.4876,0.1437,0.0339,0,0.0798,0,1631769,791219,55.485,528343,27.386,
California PERF,2012,0,"Multiple employer, agent plan",1,1,CA,9,282991008,340428992,0.831,1,0.0275,0.075,Entry Age Normal,Level Percent Closed,0.486,0.146,0.03,0,0.105,0,1646162,786586,54.157,543722,28.645,
California PERF,2013,0,"Multiple employer, agent plan",1,1,CA,9,281928000,375019008,0.752,1.017,0.0275,0.075,Entry Age Normal,,0.514,0.124,0.063,0,0.104,0,1671212,759509,56.056,566975,29.34,
California PERF,2014,0,"Multiple employer, agent plan",1,1,CA,9,301256992,394726016,0.763,1,0.0275,0.075,Individual Entry Age Normal,Level Percent Open,0.531,0.105,0.078,0,0.1,0,1871845,776429,57.904,586959,30.259,
California PERF,2015,0,"Multiple employer, agent plan",1,1,CA,9,302417984,413700000,0.731,1,0.0275,0.075,Individual Entry Age Normal,Level Percent Open,0.538,0.096,0.06,0,0.105,0,1815699,868713,54.63,611078,30.965,
California PERF,2016,0,"Multiple employer, agent plan",1,1,CA,9,298126016,436703008,0.683,1,0.0275,0.075,Individual Entry Age Normal,Level Percent Open,0.519,0.09,0.065,0,0.108,0,1859554,873026,57.081,648645,30.978,
California PERF,2017,0,"Multiple employer, agent plan",1,1,CA,9,326182016,465046016,0.701,1,0.0275,0.075,Individual Entry Age Normal,Level Percent Open,0.483,0.08,0.083,0,0.112,0,1925459,887220,58.6,668059,31.758,
California PERF,2018,0,"Multiple employer, agent plan",1,1,CA,9,354616000,504996000,0.702,1,0.0275,0.075,Individual Entry Age Normal,Level Percent Open,0.489,0.077,0.068,0,0.108,0,1958888,865290,62.295,694570,32.617,
California PERF,2019,0,"Multiple employer, agent plan",1,1,CA,9,372777984,531166016,0.702,1,0.0275,0.0738,Individual Entry Age Normal,Level Percent Open,0.502,0.071,0.02,0,0.11,0,2006369,875401,64.417,712115,33.996,
California PERF,2020,0,"Multiple employer, agent plan",1,1,CA,9,372777984,531166016,0.702,1,0.0265,0.0725,Individual Entry Age Normal,Level Percent Open,0.531,0.063,0.002,0,0.113,0,2052082,878084,64.417,732529,35.196,
Chicago Teachers,2001,1,"Multiple employer, cost sharing plan",2,0,IL,11,10387569,10392705,0.9995,0.4079,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.586,0.009,0,0,0.075,0,56262,37648,44.897,17298,25.149,
Chicago Teachers,2002,1,"Multiple employer, cost sharing plan",2,0,IL,11,10619061,11025482,0.963,0.4294,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.555,0.009,0,0,0.084,0,56793,37374,47.066,17867,27.411,
Chicago Teachers,2003,1,"Multiple employer, cost sharing plan",2,0,IL,11,10494755,11411528,0.92,0.4916,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.56,0.012,0,0,0.079,0,56557,36548,46.684,18565,29.328,
Chicago Teachers,2004,1,"Multiple employer, cost sharing plan",2,0,IL,11,10392193,12105681,0.858,0.3849,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.619,0.014,0,0,0.069,0,58558,37362,47.311,19266,30.851,
Chicago Teachers,2005,1,"Multiple employer, cost sharing plan",2,0,IL,11,10506471,13295876,0.79,0.2855,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.621,0.018,0,0,0.076,0,60534,37521,49.465,20954,32.846,
Chicago Teachers,2006,1,"Multiple employer, cost sharing plan",2,0,IL,11,10947998,14035627,0.78,0.3587,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.623,0.023,0,0,0.084,0,59195,34682,56.062,22105,34.578,
Chicago Teachers,2007,1,"Multiple employer, cost sharing plan",2,0,IL,11,11759699,14677184,0.8012,0.3335,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.652,0.024,0,0,0.082,0,59343,32968,56.515,23623,36.165,
Chicago Teachers,2008,1,"Multiple employer, cost sharing plan",2,0,IL,11,12069417,15203741,0.7938,0.5663,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.608,0.026,0,0,0.101,0,59485,32086,59.67,23920,37.828,
Chicago Teachers,2009,1,"Multiple employer, cost sharing plan",2,0,IL,11,11493256,15683242,0.7328,0.678,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.553,0.028,0,0.03,0.087,0,59179,31905,62.567,24218,38.913,
Chicago Teachers,2010,1,"Multiple employer, cost sharing plan",2,0,IL,11,10917417,16319744,0.669,0.8171,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.571,0.029,0.016,0.026,0.086,0,61335,33983,62.029,24600,40.169,
Chicago Teachers,2011,1,"Multiple employer, cost sharing plan",2,0,IL,11,10109315,16940626,0.5967,0.3339,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.61,0.031,0.017,0.026,0.095,0,59585,30133,69.364,25199,41.584,
Chicago Teachers,2012,1,"Multiple employer, cost sharing plan",2,0,IL,11,9364077,17375660,0.5389,0.272,0.03,0.08,Projected Unit Credit.,Level Percent Open,0.558,0.029,0.018,0.032,0.106,0,60537,30366,69.757,25926,43.049,
Chicago Teachers,2013,1,"Multiple employer, cost sharing plan",2,0,IL,11,9422519,19044534,0.4948,0.2437,0.0275,0.0775,Projected Unit Credit.,Level Percent Open,0.6,0.028,0.003,0.034,0.107,0,62911,30969,69.321,27440,44.638,
